id,province_id,name
025004000,025000000,"Bambang"
025005000,025000000,"Bayombong"
025006000,025000000,"Diadi"
025007000,025000000,"Dupax Del Norte"
025008000,025000000,"Dupax Del Sur"
025009000,025000000,"Kasibu"
025010000,025000000,"Kayapa"
025011000,025000000,"Quezon"
025012000,025000000,"Santa Fe"
025013000,025000000,"Solano"
025014000,025000000,"Villaverde"
025015000,025000000,"Alfonso Castaneda"
025701000,025700000,"Aglipay"
025702000,025700000,"Cabarroguis"
025703000,025700000,"Diffun"
025704000,025700000,"Maddela"
025705000,025700000,"Saguday"
025706000,025700000,"Nagtipunan"
030801000,030800000,"Abucay"
030802000,030800000,"Bagac"
030803000,030800000,"City of Balanga"
030804000,030800000,"Dinalupihan"
030805000,030800000,"Hermosa"
030806000,030800000,"Limay"
030807000,030800000,"Mariveles"
030808000,030800000,"Morong"
030809000,030800000,"Orani"
030810000,030800000,"Orion"
030811000,030800000,"Pilar"
030812000,030800000,"Samal"
031401000,031400000,"Angat"
031402000,031400000,"Balagtas"
031403000,031400000,"Baliuag"
031404000,031400000,"Bocaue"
031405000,031400000,"Bulacan"
031406000,031400000,"Bustos"
031407000,031400000,"Calumpit"
031408000,031400000,"Guiguinto"
031409000,031400000,"Hagonoy"
031410000,031400000,"City of Malolos"
031411000,031400000,"Marilao"
031412000,031400000,"City of Meycauayan"
031413000,031400000,"Norzagaray"
031414000,031400000,"Obando"
031415000,031400000,"Pandi"
031416000,031400000,"Paombong"
031417000,031400000,"Plaridel"
031418000,031400000,"Pulilan"
031419000,031400000,"San Ildefonso"
031420000,031400000,"City of San Jose Del Monte"
031421000,031400000,"San Miguel"
031422000,031400000,"San Rafael"
031423000,031400000,"Santa Maria"
031424000,031400000,"Doña Remedios Trinidad"
034901000,034900000,"Aliaga"
034902000,034900000,"Bongabon"
034903000,034900000,"City of Cabanatuan"
034904000,034900000,"Cabiao"
034905000,034900000,"Carranglan"
034906000,034900000,"Cuyapo"
034907000,034900000,"Gabaldon"
034908000,034900000,"City of Gapan"
034909000,034900000,"General Mamerto Natividad"
034910000,034900000,"General Tinio"
034911000,034900000,"Guimba"
034912000,034900000,"Jaen"
034913000,034900000,"Laur"
034914000,034900000,"Licab"
034915000,034900000,"Llanera"
034916000,034900000,"Lupao"
034917000,034900000,"Science City of Muñoz"
034918000,034900000,"Nampicuan"
034919000,034900000,"City of Palayan"
034920000,034900000,"Pantabangan"
034921000,034900000,"Peñaranda"
034922000,034900000,"Quezon"
034923000,034900000,"Rizal"
034924000,034900000,"San Antonio"
034925000,034900000,"San Isidro"
034926000,034900000,"San Jose City"
034927000,034900000,"San Leonardo"
034928000,034900000,"Santa Rosa"
034929000,034900000,"Santo Domingo"
034930000,034900000,"Talavera"
034931000,034900000,"Talugtug"
034932000,034900000,"Zaragoza"
035401000,035400000,"City of Angeles"
035402000,035400000,"Apalit"
035403000,035400000,"Arayat"
035404000,035400000,"Bacolor"
035405000,035400000,"Candaba"
035406000,035400000,"Floridablanca"
035407000,035400000,"Guagua"
035408000,035400000,"Lubao"
035409000,035400000,"Mabalacat City"
035410000,035400000,"Macabebe"
035411000,035400000,"Magalang"
035412000,035400000,"Masantol"
035413000,035400000,"Mexico"
035414000,035400000,"Minalin"
035415000,035400000,"Porac"
035416000,035400000,"City of San Fernando"
035417000,035400000,"San Luis"
035418000,035400000,"San Simon"
035419000,035400000,"Santa Ana"
035420000,035400000,"Santa Rita"
035421000,035400000,"Sto. Tomas"
035422000,035400000,"Sasmuan"
036901000,036900000,"Anao"
036902000,036900000,"Bamban"
036903000,036900000,"Camiling"
036904000,036900000,"Capas"
036905000,036900000,"Concepcion"
036906000,036900000,"Gerona"
036907000,036900000,"La Paz"
036908000,036900000,"Mayantoc"
036909000,036900000,"Moncada"
036910000,036900000,"Paniqui"
036911000,036900000,"Pura"
036912000,036900000,"Ramos"
036913000,036900000,"San Clemente"
036914000,036900000,"San Manuel"
036915000,036900000,"Santa Ignacia"
036916000,036900000,"City of Tarlac"
036917000,036900000,"Victoria"
036918000,036900000,"San Jose"
037101000,037100000,"Botolan"
037102000,037100000,"Cabangan"
037103000,037100000,"Candelaria"
037104000,037100000,"Castillejos"
037105000,037100000,"Iba"
037106000,037100000,"Masinloc"
037107000,037100000,"City of Olongapo"
037108000,037100000,"Palauig"
037109000,037100000,"San Antonio"
037110000,037100000,"San Felipe"
037111000,037100000,"San Marcelino"
037112000,037100000,"San Narciso"
037113000,037100000,"Santa Cruz"
037114000,037100000,"Subic"
037701000,037700000,"Baler"
037702000,037700000,"Casiguran"
037703000,037700000,"Dilasag"
037704000,037700000,"Dinalungan"
037705000,037700000,"Dingalan"
037706000,037700000,"Dipaculao"
037707000,037700000,"Maria Aurora"
037708000,037700000,"San Luis"
041001000,041000000,"Agoncillo"
041002000,041000000,"Alitagtag"
041003000,041000000,"Balayan"
041004000,041000000,"Balete"
041005000,041000000,"Batangas City"
041006000,041000000,"Bauan"
041007000,041000000,"Calaca"
041008000,041000000,"Calatagan"
041009000,041000000,"Cuenca"
041010000,041000000,"Ibaan"
041011000,041000000,"Laurel"
041012000,041000000,"Lemery"
041013000,041000000,"Lian"
041014000,041000000,"City of Lipa"
041015000,041000000,"Lobo"
041016000,041000000,"Mabini"
041017000,041000000,"Malvar"
041018000,041000000,"Mataasnakahoy"
041019000,041000000,"Nasugbu"
041020000,041000000,"Padre Garcia"
041021000,041000000,"Rosario"
041022000,041000000,"San Jose"
041023000,041000000,"San Juan"
041024000,041000000,"San Luis"
041025000,041000000,"San Nicolas"
041026000,041000000,"San Pascual"
041027000,041000000,"Santa Teresita"
041028000,041000000,"City of Sto. Tomas"
041029000,041000000,"Taal"
041030000,041000000,"Talisay"
041031000,041000000,"City of Tanauan"
041032000,041000000,"Taysan"
041033000,041000000,"Tingloy"
041034000,041000000,"Tuy"
042101000,042100000,"Alfonso"
042102000,042100000,"Amadeo"
042103000,042100000,"City of Bacoor"
042104000,042100000,"Carmona"
042105000,042100000,"City of Cavite"
042106000,042100000,"City of Dasmariñas"
042107000,042100000,"General Emilio Aguinaldo"
042108000,042100000,"City of General Trias"
042109000,042100000,"City of Imus"
042110000,042100000,"Indang"
042111000,042100000,"Kawit"
042112000,042100000,"Magallanes"
042113000,042100000,"Maragondon"
042114000,042100000,"Mendez"
042115000,042100000,"Naic"
042116000,042100000,"Noveleta"
042117000,042100000,"Rosario"
042118000,042100000,"Silang"
042119000,042100000,"City of Tagaytay"
042120000,042100000,"Tanza"
042121000,042100000,"Ternate"
042122000,042100000,"City of Trece Martires"
042123000,042100000,"Gen. Mariano Alvarez"
043401000,043400000,"Alaminos"
043402000,043400000,"Bay"
043403000,043400000,"City of Biñan"
043404000,043400000,"City of Cabuyao"
043405000,043400000,"City of Calamba"
043406000,043400000,"Calauan"
043407000,043400000,"Cavinti"
043408000,043400000,"Famy"
043409000,043400000,"Kalayaan"
043410000,043400000,"Liliw"
043411000,043400000,"Los Baños"
043412000,043400000,"Luisiana"
043413000,043400000,"Lumban"
